Time	Watts	Volts	Amps	WattHrs	Cost	Avg Kwh	Mo Cost	Max Wts	Max Vlt	Max Amp	Min Wts	Min Vlt	Min Amp	Pwr Fct	Dty Cyc	Pwr Cyc

0.00393519	9.80	118.700	0.086	0.90	0.009	6.70	67.021	9.80	118.90	0.086	9.70	118.500	0.085	97.0	100.0	0.0	60.0	10.100
0.00405093	9.80	118.800	0.085	0.90	0.009	6.70	67.033	9.80	118.80	0.086	9.70	118.600	0.084	97.0	100.0	0.0	59.9	10.100
0.00416667	9.70	118.700	0.086	0.90	0.009	6.70	67.014	9.80	118.90	0.086	9.70	118.500	0.085	96.0	100.0	0.0	60.0	10.100
0.00428241	9.80	118.900	0.086	0.90	0.010	6.70	67.016	9.80	119.00	0.086	9.70	118.500	0.084	94.0	100.0	0.0	60.0	10.400
0.00439815	9.80	119.100	0.086	1.00	0.010	6.70	67.019	9.80	119.10	0.086	9.80	118.800	0.085	97.0	100.0	0.0	60.0	10.100
0.00451389	9.80	119.100	0.085	1.00	0.010	6.70	67.024	9.80	119.10	0.086	9.80	118.900	0.084	97.0	100.0	0.0	60.0	10.100
0.00462963	9.80	119.200	0.085	1.00	0.010	6.70	67.030	9.80	119.30	0.087	9.80	118.800	0.085	94.0	100.0	0.0	60.0	10.400
0.00474537	9.80	119.100	0.085	1.10	0.011	6.70	67.035	9.80	119.20	0.086	9.80	119.000	0.084	97.0	100.0	0.0	60.0	10.100
0.00486111	9.80	119.200	0.086	1.10	0.011	6.71	67.056	9.90	119.30	0.087	9.80	119.000	0.085	97.0	100.0	0.0	60.0	10.100
0.00497685	9.80	119.200	0.086	1.10	0.011	6.70	67.045	9.90	119.30	0.087	9.80	119.000	0.085	94.0	100.0	0.0	60.0	10.400
0.00509259	9.80	119.100	0.085	1.10	0.011	6.71	67.053	9.90	119.30	0.086	9.80	119.100	0.085	94.0	100.0	0.0	60.0	10.400
0.00520833	9.90	119.100	0.085	1.20	0.012	6.71	67.058	9.90	119.30	0.086	9.80	118.600	0.085	95.0	100.0	0.0	60.0	10.400
0.00532407	9.80	119.000	0.086	1.20	0.012	6.71	67.059	9.90	119.20	0.086	9.80	118.900	0.085	97.0	100.0	0.0	60.0	10.100
0.00543981	9.80	119.200	0.086	1.20	0.012	6.71	67.077	9.90	119.30	0.086	9.80	118.900	0.084	97.0	100.0	0.0	60.0	10.100
0.00555556	9.80	119.400	0.086	1.20	0.012	6.71	67.067	9.90	119.40	0.086	9.80	119.000	0.085	97.0	100.0	0.0	60.0	10.100
0.00567130	9.80	119.400	0.086	1.30	0.013	6.71	67.071	9.90	119.40	0.086	9.80	119.200	0.084	97.0	100.0	0.0	60.1	10.100
0.00578704	9.90	119.300	0.086	1.30	0.013	6.71	67.074	9.90	119.40	0.086	9.80	119.200	0.085	95.0	100.0	0.0	60.1	10.400
0.00590278	9.80	119.300	0.086	1.30	0.013	6.71	67.080	9.90	119.40	0.086	9.80	119.100	0.085	97.0	100.0	0.0	60.1	10.100
0.00601852	9.90	119.300	0.085	1.30	0.013	6.71	67.086	9.90	119.40	0.086	9.80	119.100	0.085	98.0	100.0	0.0	60.0	10.100
0.00613426	9.90	119.200	0.086	1.40	0.014	6.71	67.102	9.90	119.40	0.086	9.80	119.200	0.085	95.0	100.0	0.0	60.0	10.400
0.00625000	9.80	119.300	0.085	1.40	0.014	6.71	67.095	9.90	119.40	0.086	9.80	119.100	0.085	94.0	100.0	0.0	60.0	10.400
0.00636574	9.80	119.300	0.085	1.40	0.014	6.71	67.098	9.90	119.40	0.086	9.80	119.100	0.085	94.0	100.0	0.0	60.0	10.400
0.00648148	9.80	119.300	0.086	1.40	0.014	6.71	67.104	9.90	119.40	0.086	9.80	119.100	0.085	94.0	100.0	0.0	60.1	10.400
0.00659722	9.80	119.300	0.085	1.50	0.015	6.71	67.118	9.90	119.40	0.086	9.80	119.200	0.084	94.0	100.0	0.0	60.1	10.400
0.00671296	9.90	119.200	0.085	1.50	0.015	6.71	67.109	9.90	119.40	0.086	9.80	119.100	0.084	95.0	100.0	0.0	60.1	10.400
0.00682870	9.80	119.300	0.085	1.50	0.015	6.71	67.114	9.90	119.40	0.086	9.80	119.100	0.085	94.0	100.0	0.0	60.1	10.400
0.00694444	9.80	119.200	0.085	1.50	0.016	6.71	67.116	9.90	119.40	0.086	9.80	119.100	0.084	94.0	100.0	0.0	60.1	10.400
0.00706019	9.80	119.000	0.085	1.60	0.016	6.71	67.118	9.90	119.30	0.086	9.80	118.800	0.084	94.0	100.0	0.0	60.1	10.400
0.00717593	9.80	119.100	0.085	1.60	0.016	6.71	67.129	9.90	119.20	0.086	9.80	118.900	0.084	94.0	100.0	0.0	60.1	10.400
0.00729167	9.80	119.100	0.086	1.60	0.016	6.71	67.131	9.80	119.20	0.087	9.80	118.900	0.084	94.0	100.0	0.0	60.1	10.400
0.00740741	9.80	119.100	0.084	1.70	0.017	6.71	67.130	9.90	119.20	0.086	9.80	119.000	0.084	97.0	100.0	0.0	60.1	10.100
0.00752315	9.80	119.300	0.085	1.70	0.017	6.71	67.124	9.90	119.30	0.086	9.80	119.000	0.084	97.0	100.0	0.0	60.1	10.100
0.00763889	9.90	119.200	0.084	1.70	0.017	6.71	67.126	9.90	119.40	0.086	9.80	119.000	0.084	95.0	100.0	0.0	60.1	10.400
0.00775463	9.80	119.200	0.085	1.70	0.017	6.71	67.128	9.90	119.40	0.086	9.80	119.100	0.084	97.0	100.0	0.0	60.1	10.100
0.00787037	9.80	119.200	0.085	1.80	0.018	6.71	67.130	9.90	119.30	0.087	9.80	119.100	0.085	97.0	100.0	0.0	60.1	10.100
0.00798611	9.80	119.300	0.086	1.80	0.018	6.71	67.132	9.90	119.30	0.086	9.80	119.000	0.084	94.0	100.0	0.0	60.1	10.400
0.00810185	9.80	119.200	0.086	1.80	0.018	6.71	67.134	9.90	119.30	0.086	9.80	119.100	0.085	94.0	100.0	0.0	60.0	10.400
0.00821759	9.80	119.400	0.085	1.80	0.018	6.71	67.138	9.90	119.40	0.086	9.80	119.100	0.085	97.0	100.0	0.0	60.0	10.100
